Series Name,Series Code,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,1063.635574,1099.194507,1062.24936,1136.123214,1161.124889,1284.775213,1298.143159,1531.173993,1614.255001,1660.739856,1839.273579,1848.700026,1838.960244,1809.016488,1802.695566
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,4722.838166,3345.504049,3123.512503,3444.321792,3753.169904,4278.689663,4697.153233,4214.358153,4623.026401,5280.527867,5668.574777,6176.370678,6457.050021,6855.448876,7277.214908,7733.006933,8204.588246,8754.569513,9153.788206,9524.649303,9927.181841,10207.7647,10369.82338,10492.80628,10701.12079,10971.29252,11359.1704
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,10236.84066,9869.48837,9815.463823,9400.054424,9126.271624,9295.420114,9509.687657,9461.355117,9796.739936,9968.967712,10211.00186,10382.18684,10826.48765,11459.89356,11797.18485,12322.48426,12348.48121,12570.6547,12660.40324,12647.5403,12870.6027,12990.34502,13161.96167,13253.61548,13483.33786,13724.72385,13921.18002
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,4394.330141,4209.482089,3793.64554,2763.824621,2770.127244,2966.554626,3205.950938,3365.98383,3498.725632,3511.198573,3508.905125,3540.232025,3184.025946,3234.996579,3461.018084,3949.2728,4601.115488,5443.126215,5978.334873,5908.051427,5895.114088,5911.254334,5998.638601,6185.013829,6260.132681,6231.067992,5984.640422
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,16381.01836,16585.67152,16503.1721,16999.17681,17683.75102,16476.33328,17097.97588,17543.73153,17887.80757,18102.20309,18908.49419,17660.52192,17591.34019,18437.50825,19282.22979,20289.71064,22606.84085,24408.18149,24111.37708,20942.30118,19212.72013,18605.31675,19047.20024,18823.75445,19573.83412,20154.94749,21013.01763
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,10815.71512,12015.6271,13266.05286,13861.94618,14481.1082,13893.52266,14485.50768,15479.37913,15894.55805,15186.1302,14899.87005,14085.57518,12412.60599,13361.40004,14410.15052,15518.67851,16592.26489,17900.70634,18436.86247,17168.37894,18712.06308,19629.35185,19224.8744,19482.1903,18797.54795,19101.29739,18489.43489
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,3742.437371,3335.601899,1976.529237,1845.319707,1992.019485,2173.36283,2336.516562,2441.181834,2639.949318,2744.430205,2924.74738,3224.141275,3669.44339,4206.975118,4673.984726,5356.614424,6110.226191,7010.627056,7558.361648,6532.964231,6702.848006,7022.103943,7511.132482,7727.929092,7971.117928,8195.93365,8190.239289
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35973.78051,..,..,..,..,..
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Australia,AUS,28582.7073,28114.78875,27896.93879,28747.48338,29597.26586,30379.18965,31166.63041,32036.55562,33112.11252,34374.98404,35281.39536,35480.69861,36400.72744,37057.49141,38148.91919,38854.8372,39426.0204,40649.66422,41316.60005,41207.12899,41384.92355,41782.28494,42534.50696,42867.16711,43315.361,43719.50216,44260.57597
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Austria,AUT,31417.0782,32175.4821,32489.54451,32392.48067,33043.1684,33872.85354,34638.4307,35362.12104,36580.83926,37820.43064,39000.48095,39376.16811,39831.73316,39937.89776,40764.81821,41354.76524,42529.537,43927.12933,44467.37848,42666.11763,43384.58801,44452.73275,44580.51834,44375.93774,44336.86301,44288.92875,44438.72482
