Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Asia,º Asia,1961,BiocapTotGHA,50438083.2517962,0,471008138.106321,334905152.176619,652091638.579885,142347175.885321,1650790187.99994,,null
Asia,º Asia,1961,EFConsTotGHA,50438083.2517962,391575774.024635,496405890.524621,94189198.3213809,409230327.823289,142933975.561655,1584773249.50738,,null
Asia,º Asia,1962,EFConsTotGHA,53884677.2842046,373946051.03336,517019590.787889,98128748.8369844,404238379.921744,141585335.243262,1588802783.10745,,null
Asia,º Asia,1962,BiocapTotGHA,53884677.2842046,0,496407861.64687,334121328.935417,649362073.151318,143227694.106179,1677003635.12399,,null
Asia,º Asia,1963,BiocapTotGHA,54718751.3772637,0,502503150.219794,332991649.274446,645433840.150499,143665737.696688,1679313128.71869,,null
Asia,º Asia,1963,EFConsTotGHA,54718751.3772637,402691562.009531,529775533.220227,100247862.346345,407099357.454203,145350131.994562,1639883198.40213,,null
Asia,º Asia,1964,BiocapTotGHA,58315338.4937984,0,518663585.70944,332275689.465415,644512733.670646,144623423.210262,1698390770.54956,,null
Asia,º Asia,1964,EFConsTotGHA,58315338.4937984,427886675.608742,548717560.062897,92965320.9848213,420213751.599881,144128354.501844,1692227001.25198,,null
Asia,º Asia,1965,EFConsTotGHA,61966343.7020598,463975431.624003,564495382.22499,100374300.255905,425305546.741027,147233169.592213,1763350174.1402,,null
Asia,º Asia,1965,BiocapTotGHA,61966343.7020598,0,529768628.294842,331090128.018363,642419507.771147,145543630.065333,1710788237.85175,,null
Asia,º Asia,1966,BiocapTotGHA,67077556.5526028,0,555884839.248508,330977721.389816,639646771.461118,146898189.951453,1740485078.6035,,null
Asia,º Asia,1966,EFConsTotGHA,67077556.5526028,522805476.963731,594386435.643189,105680406.830397,432504171.334913,153152929.828778,1875606977.15361,,null
Asia,º Asia,1967,BiocapTotGHA,70472060.9398774,0,576686520.409547,330013667.624522,638485298.581417,147739232.397354,1763396779.95272,,null
Asia,º Asia,1967,EFConsTotGHA,70472060.9398774,542704988.831314,618504617.522748,112341325.396288,443096999.840855,154071440.799184,1941191433.33027,,null
Asia,º Asia,1968,EFConsTotGHA,71957827.0942324,593075196.550581,622397669.956235,117832357.14811,449491418.538288,157915088.013662,2012669557.30111,,null
Asia,º Asia,1968,BiocapTotGHA,71957827.0942324,0,583537483.309742,329362337.529058,633734791.516416,148947409.180062,1767539848.62951,,null
Asia,º Asia,1969,BiocapTotGHA,75682208.8150457,0,604694974.367829,327066860.315382,629501280.182385,149480485.473657,1786425809.1543,,null
Asia,º Asia,1969,EFConsTotGHA,75682208.8150457,678102595.682672,642575745.950406,117000705.641133,451161540.531664,161130852.707466,2125653649.32838,,null
Asia,º Asia,1970,EFConsTotGHA,82158176.8627173,803771166.836974,690097721.678561,117413511.903694,457213936.540176,164930075.598709,2315584589.42083,,null
Asia,º Asia,1970,BiocapTotGHA,82158176.8627173,0,642330402.062809,327745238.090241,626937359.699827,151520083.137586,1830691259.85318,,null
Asia,º Asia,1971,BiocapTotGHA,88353998.5637984,0,682750463.109267,335828591.181324,623819038.008605,153619241.690008,1884371332.553,,null
Asia,º Asia,1971,EFConsTotGHA,88353998.5637984,871451417.974736,722252554.055498,121754196.658642,469843658.54287,166241231.619663,2439897057.41521,,null
Asia,º Asia,1972,EFConsTotGHA,88818817.7618129,925939986.748088,707646705.560498,138442959.25115,484303178.138017,170898275.109069,2516049922.56864,,null
Asia,º Asia,1972,BiocapTotGHA,88818817.7618129,0,666155891.732216,336985295.588877,620893946.285545,156056841.065823,1868910792.43427,,null
Asia,º Asia,1973,EFConsTotGHA,95553545.5149456,1022312996.95242,758732593.072876,146251937.01255,500808952.073334,170128871.691729,2693788896.31785,,null
Asia,º Asia,1973,BiocapTotGHA,95553545.5149456,0,699525254.311528,334996863.357074,618512783.857852,157318122.922227,1905906569.96363,,null
Asia,º Asia,1974,EFConsTotGHA,97098597.7596354,1019550376.75437,749951100.199939,148223610.149675,503194757.073665,161505645.782163,2679524087.71945,,null
Asia,º Asia,1974,BiocapTotGHA,97098597.7596354,0,691981569.714841,336141933.1672,614775632.115461,160139478.902001,1900137211.65914,,null
Asia,º Asia,1975,EFConsTotGHA,103251361.592853,1055577390.62443,787050576.638193,143777192.688634,498934179.573607,169607881.441989,2758198582.55971,,null
Asia,º Asia,1975,BiocapTotGHA,103251361.592853,0,732232413.711695,335970642.594288,612560766.496717,162193852.496127,1946209036.89168,,null
Asia,º Asia,1976,BiocapTotGHA,107335788.308799,0,752198570.918168,335544718.924641,609824468.667888,163957986.144034,1968861532.96353,,null
Asia,º Asia,1976,EFConsTotGHA,107335788.308799,1112504083.85164,800314430.120976,142942120.834438,521157727.972493,177331850.332614,2861586001.42096,,null
Asia,º Asia,1977,EFConsTotGHA,107586559.386029,1195812375.7032,805140038.773888,146197205.904147,524337077.038215,179595002.627498,2958668259.43297,,null
Asia,º Asia,1977,BiocapTotGHA,107586559.386029,0,750278822.756024,337015361.863346,605703486.883282,166963143.362627,1967547374.25131,,null
Asia,º Asia,1978,BiocapTotGHA,119962567.557228,0,813841752.617223,337519222.568457,600972057.10249,169400849.027276,2041696448.87267,,null
Asia,º Asia,1978,EFConsTotGHA,119962567.557228,1273813655.74166,873038525.281461,143006875.552103,531001090.04285,182386281.650272,3123208995.82558,,null
Asia,º Asia,1979,BiocapTotGHA,126371608.480196,0,830710938.630272,338180842.896278,599514037.070846,171531308.771489,2066308735.84908,,null
Asia,º Asia,1979,EFConsTotGHA,126371608.480196,1345239063.66718,898762504.741626,148244220.25913,542816477.629095,188947089.197897,3250380963.97513,,null
Asia,º Asia,1980,EFConsTotGHA,124166001.600538,1321018203.83359,898434455.450011,151497836.394953,545226447.271144,198325579.818544,3238668524.36878,,null
Asia,º Asia,1980,BiocapTotGHA,124166001.600538,0,824432196.189055,361135940.143403,597551407.380033,181684827.549549,2088970372.86258,,null
Asia,º Asia,1981,EFConsTotGHA,132221860.271639,1291168529.76956,941132360.217345,154067255.792213,537353478.306229,206079032.721522,3262022517.07851,,null
Asia,º Asia,1981,BiocapTotGHA,132221860.271639,0,869248752.504307,362360651.77655,595098534.663429,183775691.228485,2142705490.44441,,null
Asia,º Asia,1982,EFConsTotGHA,139254354.515577,1314642063.73867,983472066.950283,159468456.502688,544075816.402882,208782775.32823,3349695533.43833,,null
Asia,º Asia,1982,BiocapTotGHA,139254354.515577,0,912603197.14328,360400420.2174,591171886.262973,184627453.569979,2188057311.70921,,null
Asia,º Asia,1983,BiocapTotGHA,144950311.994197,0,961228993.374213,359503344.440506,586932662.381017,185906866.680439,2238522178.87037,,null
Asia,º Asia,1983,EFConsTotGHA,144950311.994197,1359877481.37608,1040175410.52867,161464397.423404,551700698.538613,213675521.984092,3471843821.84506,,null
Asia,º Asia,1984,EFConsTotGHA,151353195.609461,1461946528.98459,1089908367.4365,164891005.23375,560249738.194101,210892970.817104,3639241806.27551,,null
Asia,º Asia,1984,BiocapTotGHA,151353195.609461,0,1014027716.36742,362732051.821268,583341855.435306,185681036.084258,2297135855.31772,,null
Asia,º Asia,1985,EFConsTotGHA,148553060.267546,1484278943.7555,1086970981.57146,167829861.493177,557007502.216201,214390938.110142,3659031287.41402,,null
Asia,º Asia,1985,BiocapTotGHA,148553060.267546,0,1022430562.09634,360835909.351469,580759490.163536,187660518.575898,2300239540.45479,,null
Asia,º Asia,1986,BiocapTotGHA,153961929.327495,0,1052241757.59728,358336840.088779,576589916.25536,188733496.14646,2329863939.41537,,null
Asia,º Asia,1986,EFConsTotGHA,153961929.327495,1558897981.66037,1113064358.95116,175789203.374529,565629846.9063,218690993.885501,3786034314.10536,,null
Asia,º Asia,1987,BiocapTotGHA,159239506.999163,0,1069178279.37343,357884696.599304,573846082.611234,191390149.953266,2351538715.53639,,null
Asia,º Asia,1987,EFConsTotGHA,159239506.999163,1659279485.33608,1152713384.84531,186101348.782323,578398410.588436,225375363.260089,3961107499.81141,,null
Asia,º Asia,1988,EFConsTotGHA,158530091.842853,1788651865.59844,1163898107.95988,194625365.713886,580252786.231999,226301347.8239,4112259565.17096,,null
Asia,º Asia,1988,BiocapTotGHA,158530091.842853,0,1073704187.51456,357184373.183255,571585616.642953,192649618.495883,2353653887.6795,,null
Asia,º Asia,1989,EFConsTotGHA,166283904.230338,1897785020.68934,1206966407.32898,199644208.237258,583516788.552359,224751617.248875,4278947946.28716,,null
Asia,º Asia,1989,BiocapTotGHA,166283904.230338,0,1110654666.72231,356789287.803445,570742609.761478,195013594.016698,2399484062.53427,,null
Asia,º Asia,1990,EFConsTotGHA,179600850.499257,1989725596.51301,1272379961.33826,209737453.164693,585105547.295246,221640881.689096,4458190290.49957,,null
Asia,º Asia,1990,BiocapTotGHA,179600850.499257,0,1178034160.28707,357491178.143925,569795973.386598,196782598.747678,2481704761.06452,,null
Asia,º Asia,1991,BiocapTotGHA,179698544.017994,0,1170957063.94069,356957326.17249,571706233.629498,196514371.802355,2475833539.56303,,null
Asia,º Asia,1991,EFConsTotGHA,179698544.017994,2101837992.89277,1261033240.54325,221599006.712852,586783475.495552,231594826.254509,4582547085.91692,,null
Asia,º Asia,1992,EFConsTotGHA,191110250.636457,2372883784.95515,1335931805.28765,235499120.267055,602271956.882247,253049108.841616,4990746026.87017,,null
Asia,º Asia,1992,BiocapTotGHA,191110250.636457,0,1249470578.06913,362056955.706126,586648543.492155,238560081.462361,2627846409.36623,,null
Asia,º Asia,1993,EFConsTotGHA,196855111.66437,2489520877.90691,1351824808.89124,238169443.798582,609757494.155116,258801537.049066,5144929273.46528,,null
Asia,º Asia,1993,BiocapTotGHA,196855111.66437,0,1263152367.98383,362934496.951844,590206427.083553,240215462.701562,2653363866.38515,,null
Asia,º Asia,1994,EFConsTotGHA,204503538.585992,2604319899.01719,1382674815.96796,256589017.557651,609130038.918508,265060523.57275,5322277833.62004,,null
Asia,º Asia,1994,BiocapTotGHA,204503538.585992,0,1283604395.75268,362270806.543105,592247522.156458,241507294.668352,2684133557.70659,,null
Asia,º Asia,1995,EFConsTotGHA,210190653.600209,2799099853.47179,1427286880.57348,269906390.576779,607019768.371885,265328339.936512,5578831886.53066,,null
Asia,º Asia,1995,BiocapTotGHA,210190653.600209,0,1297114131.96147,361219911.132959,593385400.127328,240121206.099452,2702031302.92142,,null
Asia,º Asia,1996,BiocapTotGHA,222401046.128153,0,1357048663.88794,361195243.765967,597394957.301582,244944551.664193,2782984462.74784,,null
