Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Europe,º Europe,1961,BiocapTotGHA,20761068.4589345,0,210598801.894584,107533897.668978,300234882.17442,57123117.0375484,696251767.234465,,null
Europe,º Europe,1961,EFConsTotGHA,20761068.4589345,796197964.215198,287411367.307405,93558090.3082635,160481232.256294,138868083.086073,1497277805.63217,,null
Europe,º Europe,1962,EFConsTotGHA,22386621.3615759,854511921.407906,303923738.430779,94356432.2936087,164443222.072252,142486702.08188,1582108637.648,,null
Europe,º Europe,1962,BiocapTotGHA,22386621.3615759,0,219947555.412745,107282221.731292,301689909.749273,56910051.2784563,708216359.533341,,null
Europe,º Europe,1963,BiocapTotGHA,22983525.8857251,0,225474616.961928,106919495.579508,303091140.627754,56555457.9142484,715024236.969164,,null
Europe,º Europe,1963,EFConsTotGHA,22983525.8857251,914839938.447472,305311295.742303,97806441.7745602,159944260.350875,144974485.586415,1645859947.78735,,null
Europe,º Europe,1964,BiocapTotGHA,23560326.1728809,0,222189333.696759,106689609.749628,304769793.281788,56319924.8195481,713528987.720603,,null
Europe,º Europe,1964,EFConsTotGHA,23560326.1728809,964246381.219528,301987737.179798,97380499.5064724,169179678.148991,145406076.462557,1701760698.69023,,null
Europe,º Europe,1965,EFConsTotGHA,24575260.0775487,1000589294.21986,315342948.297482,108933202.229668,171765662.16466,143150704.37596,1764357071.36518,,null
Europe,º Europe,1965,BiocapTotGHA,24575260.0775487,0,233823392.010085,106308940.648245,307672712.943943,56082187.4223321,728462493.102154,,null
Europe,º Europe,1966,EFConsTotGHA,23984911.2169331,1021846810.69768,315167374.693283,116451628.207861,175182985.543194,143240804.069066,1795874514.42802,,null
Europe,º Europe,1966,BiocapTotGHA,23984911.2169331,0,227733517.349112,106272848.271603,310644340.830149,56159690.3509304,724795308.018728,,null
Europe,º Europe,1967,EFConsTotGHA,28072382.35681,1049500826.61805,339810529.301939,125866843.661387,179189270.069858,143594607.091739,1866034459.09979,,null
Europe,º Europe,1967,BiocapTotGHA,28072382.35681,0,257557545.795792,113104683.01272,315539161.774823,59532403.0722795,773806176.012425,,null
Europe,º Europe,1968,BiocapTotGHA,27438743.0431783,0,252843341.778586,112881454.427934,319055792.853652,59229857.4485397,771449189.551888,,null
