Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Latin America and the Caribbean,º Latin America and the Caribbean,1961,EFConsTotGHA,7469611.43205148,77947070.0639319,85904986.6444718,14328208.1696409,84379586.1450203,209017743.036041,479047205.491158,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1961,BiocapTotGHA,7469611.43205148,0,98493189.7223886,165476042.728392,2232807454.09514,370289394.334624,2874535692.3126,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1962,EFConsTotGHA,7655823.95650216,83583109.5354171,84254172.1210178,16490675.3945902,86113871.957891,203703232.280628,481800885.246046,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1962,BiocapTotGHA,7655823.95650216,0,100945243.996721,165088757.052702,2226435314.55092,373638168.807451,2873763308.36429,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1963,EFConsTotGHA,7750891.72021711,86842938.382119,92177224.3000056,17089167.8646189,85075452.5968708,198457327.248128,487393002.111959,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1963,BiocapTotGHA,7750891.72021711,0,106934312.240268,164530584.332357,2216947449.57231,375907764.889938,2872071002.75509,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1964,BiocapTotGHA,8075990.1676643,0,113039745.25667,164176829.858348,2209061086.56146,378745819.933047,2873099471.77718,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1964,EFConsTotGHA,8075990.1676643,90358649.1664727,95294071.7859476,18442799.9813974,87209469.1072223,208773006.160175,508153986.36888,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1965,BiocapTotGHA,8617614.71229632,0,114058758.055321,163591046.046441,2203963972.59869,381526447.83346,2871757839.24621,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1965,EFConsTotGHA,8617614.71229632,98686935.346014,92094408.4044894,16899624.7915809,89190447.1372498,216805487.668219,522294518.059849,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1966,EFConsTotGHA,8893207.03283465,105206156.479975,96657178.3829953,19399731.1948978,88718884.8988678,219817212.6891,538692370.67867,,null
