Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,1961,EFConsTotGHA,80773053.5875499,3091250124.90526,1428569734.81552,294083938.82752,1324171653.99717,816394368.343639,7035242874.47666,3A,null
World,º World,1961,BiocapTotGHA,80773053.5875499,0,1428569734.81552,1127789625.32431,5496460656.24016,1477750445.74978,9611343515.71732,3A,null
World,º World,1962,EFConsTotGHA,85478748.6667741,3225366159.31656,1488692980.56599,307557778.403406,1335108986.81501,823791270.778719,7265995924.54646,3A,null
World,º World,1962,BiocapTotGHA,85478748.6667741,0,1488692980.56599,1125150879.29957,5491194148.01149,1477362613.04208,9667879369.5859,3A,null
World,º World,1963,EFConsTotGHA,87558756.566048,3452367842.38705,1506047670.41387,317220523.408493,1347784806.64208,839661068.71464,7550640668.13218,3A,null
World,º World,1963,BiocapTotGHA,87558756.566048,0,1506047670.41387,1121346308.15498,5477702137.24364,1473457430.99701,9666112303.37555,3A,null
World,º World,1964,EFConsTotGHA,91798060.1666988,3679325901.96756,1552418378.10195,310934357.780631,1396491563.12375,833665685.142486,7864633946.28306,3A,null
World,º World,1964,BiocapTotGHA,91798060.1666988,0,1552418378.10194,1118935320.10049,5476588523.5248,1473034100.68983,9712774382.58376,3A,null
World,º World,1965,EFConsTotGHA,94834252.2606386,3879646950.35291,1578715822.85628,334399063.640455,1413181120.45043,854272792.140763,8155050001.70148,3A,null
World,º World,1965,BiocapTotGHA,94834252.2606386,0,1578715822.85628,1114943334.66893,5475810896.73531,1472307843.78866,9736612150.30982,3A,null
World,º World,1966,EFConsTotGHA,102924823.47997,4094180060.15676,1676597177.95192,357674540.021448,1436092804.80511,851363631.099284,8518833037.51449,3A,null
World,º World,1966,BiocapTotGHA,102924823.47997,0,1676597177.95192,1114565187.93303,5476551804.50064,1475788664.56788,9846427658.43344,3A,null
World,º World,1967,EFConsTotGHA,107662072.95027,4213881844.80169,1725340900.8362,382129247.425627,1458001029.26262,867619740.196275,8754634835.47269,3A,null
World,º World,1967,BiocapTotGHA,107662072.95027,0,1725340900.8362,1111319124.11226,5474910219.60491,1475387615.90385,9894619933.4075,3A,null
World,º World,1968,EFConsTotGHA,111992808.47381,4458028507.50521,1772798378.01651,405938216.483934,1472183157.57161,868289926.729362,9089230994.78044,3A,null
World,º World,1968,BiocapTotGHA,111992808.47381,0,1772798378.01651,1109126153.58483,5454481834.28816,1471498089.18764,9919897263.55095,3A,null
World,º World,1969,BiocapTotGHA,115653980.647231,0,1816581763.85325,1101396144.64772,5438061645.57073,1464474830.14113,9936168364.86007,3A,null
World,º World,1969,EFConsTotGHA,115653980.647231,4796312664.34471,1816581763.85325,403109046.843319,1489678298.85305,863087663.331223,9484423417.87279,3A,null
World,º World,1970,EFConsTotGHA,121517982.148681,5267152094.73027,1868798225.35735,409579694.147184,1523994087.09028,861332374.677918,10052374458.1517,3A,null
World,º World,1970,BiocapTotGHA,121517982.148681,0,1868798225.35735,1103680956.62901,5428306226.61107,1470052510.41755,9992355901.16366,3A,null
World,º World,1971,EFConsTotGHA,130046227.738987,5488819985.36261,1958058682.47934,401955608.005666,1541455951.03849,881225876.674247,10401562331.2993,3A,null
World,º World,1971,BiocapTotGHA,130046227.738987,0,1958058682.47934,1101969003.39096,5414455810.05073,1473407559.42713,10077937283.0872,3A,null
World,º World,1972,EFConsTotGHA,129408973.051431,5770699879.97956,1907571714.24664,420700295.515811,1542632402.86399,907417693.366719,10678430959.0241,3A,null
World,º World,1972,BiocapTotGHA,129408973.051431,0,1907571714.24664,1105756288.13196,5407494544.14995,1484483598.77231,10034715118.3523,3A,null
World,º World,1973,EFConsTotGHA,139165227.957246,6162550330.94009,2021993825.11189,433788113.055404,1595397988.62658,898700973.900861,11251596459.5921,3A,null
World,º World,1973,BiocapTotGHA,139165227.957246,0,2021993825.11189,1098988554.20002,5407540111.53184,1481685918.84526,10149373637.6463,3A,null
